,location,voters,spoiltvotes,votes,Зеленський Володимир,Порошенко Петро,tvk,region
943,140095,875,9,459,430,29,140095,Донецька область
944,140096,309,5,155,140,15,140096,Донецька область
945,140097,1117,27,696,633,63,140097,Донецька область
946,140098,650,12,482,400,82,140098,Донецька область
947,140099,328,10,215,199,16,140099,Донецька область
948,140100,511,3,345,280,65,140100,Донецька область
949,140102,489,5,370,293,77,140102,Донецька область
950,140103,561,12,389,291,98,140103,Донецька область
951,140104,1299,27,683,633,50,140104,Донецька область
952,140105,560,5,320,267,53,140105,Донецька область
953,140107,763,7,463,432,31,140107,Донецька область
954,140108,561,7,361,318,43,140108,Донецька область
955,140109,586,13,422,344,78,140109,Донецька область
956,140110,1478,30,796,709,87,140110,Донецька область
957,140111,994,7,488,427,61,140111,Донецька область
958,140112,376,3,245,203,42,140112,Донецька область
959,140113,441,4,307,276,31,140113,Донецька область
960,140114,556,5,426,389,37,140114,Донецька область
961,140115,462,5,304,297,7,140115,Донецька область
962,140116,397,6,249,221,28,140116,Донецька область
963,140117,738,8,534,445,89,140117,Донецька область
964,140118,203,2,153,116,37,140118,Донецька область
965,140119,284,0,152,124,28,140119,Донецька область
966,140120,645,13,397,359,38,140120,Донецька область
967,140121,457,6,310,263,47,140121,Донецька область
968,140122,693,9,401,367,34,140122,Донецька область
969,140123,221,4,126,118,8,140123,Донецька область
970,140124,506,11,316,268,48,140124,Донецька область
971,140125,176,6,121,100,21,140125,Донецька область
972,140126,683,10,445,352,93,140126,Донецька область
973,140127,1229,17,638,521,117,140127,Донецька область
974,140128,1074,12,594,530,64,140128,Донецька область
975,140130,393,1,238,190,48,140130,Донецька область
976,140131,202,3,147,115,32,140131,Донецька область
977,140132,731,11,402,376,26,140132,Донецька область
978,140133,262,3,208,170,38,140133,Донецька область
979,140134,273,3,206,159,47,140134,Донецька область
980,140135,385,9,301,254,47,140135,Донецька область
981,140136,885,9,625,478,147,140136,Донецька область
982,140306,1802,66,720,567,153,140306,Донецька область
983,140307,1532,35,710,533,177,140307,Донецька область
984,140308,1144,5,472,223,249,140308,Донецька область
985,140309,1328,16,692,418,274,140309,Донецька область
986,140310,1312,53,369,339,30,140310,Донецька область
987,140311,1075,0,563,384,179,140311,Донецька область
988,140312,832,4,668,381,287,140312,Донецька область
989,140313,1222,7,543,260,283,140313,Донецька область
990,140314,1064,7,737,230,507,140314,Донецька область
991,140315,1348,25,570,386,184,140315,Донецька область
992,140316,1353,21,723,259,464,140316,Донецька область
993,140317,1477,25,716,258,458,140317,Донецька область
994,140318,1128,6,548,162,386,140318,Донецька область
995,140319,947,9,362,236,126,140319,Донецька область
996,140320,953,8,380,219,161,140320,Донецька область
997,140321,1557,29,859,809,50,140321,Донецька область
998,140322,1937,37,1087,1009,78,140322,Донецька область
999,140323,1788,26,938,866,72,140323,Донецька область
1000,140324,1591,23,919,824,95,140324,Донецька область
1001,140325,1374,17,650,598,52,140325,Донецька область
1002,140326,1648,32,861,803,58,140326,Донецька область
1003,140327,1918,20,1051,965,86,140327,Донецька область
1004,140328,1561,31,785,704,81,140328,Донецька область
1005,140329,611,5,239,223,16,140329,Донецька область
1006,140330,867,4,392,361,31,140330,Донецька область
1007,140331,465,3,204,190,14,140331,Донецька область
1008,140332,282,4,190,124,66,140332,Донецька область
1009,140338,1057,13,522,482,40,140338,Донецька область
1010,140339,1151,21,640,424,216,140339,Донецька область
1011,140340,1277,21,606,570,36,140340,Донецька область
1012,140341,384,10,166,141,25,140341,Донецька область
1013,140342,286,0,256,174,82,140342,Донецька область
1014,140343,286,6,220,141,79,140343,Донецька область
1015,140344,1402,36,698,624,74,140344,Донецька область
1016,140345,997,15,463,383,80,140345,Донецька область
1017,140346,851,10,487,418,69,140346,Донецька область
1018,140347,995,14,600,430,170,140347,Донецька область
1019,140350,1567,27,757,670,87,140350,Донецька область
1020,140351,790,27,346,304,42,140351,Донецька область
1021,140352,1154,22,472,418,54,140352,Донецька область
1022,140353,959,12,494,469,25,140353,Донецька область
1023,140354,1069,5,602,519,83,140354,Донецька область
1024,140355,468,4,322,267,55,140355,Донецька область
1025,140356,465,8,330,250,80,140356,Донецька область
1026,140357,1709,28,959,870,89,140357,Донецька область
1027,140358,1008,31,538,434,104,140358,Донецька область
1028,140359,344,8,204,154,50,140359,Донецька область
1029,140360,240,5,151,133,18,140360,Донецька область
1030,140361,389,8,242,193,49,140361,Донецька область
1031,140362,665,6,410,309,101,140362,Донецька область
1032,140364,30,0,29,23,6,140364,Донецька область
